epoch,train_loss,val_loss,val_auc,lr,duration_sec
1,0.6616171777496871,0.5245775761910906,0.7839948242563712,9.755282581475769e-05,3399.3696506023407
2,0.5783476503058194,0.5145285576268552,0.7918090073742639,9.045084971874738e-05,3311.255602836609
3,0.5322017827019848,0.5088052147050665,0.7970594673796667,7.938926261462366e-05,3292.2535367012024
4,0.4868889222132589,0.5018285489732422,0.7982219448417043,6.545084971874738e-05,3339.0686321258545
5,0.4406071207334898,0.5085514148380077,0.7897274241543963,5e-05,3350.3986287117004
6,0.3950468608784395,0.519304656005502,0.788948078310414,3.4549150281252636e-05,4397.2387528419495
7,0.35316277877968494,0.5310807846822916,0.786790359098373,2.061073738537635e-05,3388.3957381248474
8,0.3197745339529868,0.5380199639514074,0.7862180017244655,9.549150281252633e-06,3395.2111032009125
9,0.2975923712701386,0.5474077329595862,0.7862991909587851,2.4471741852423237e-06,3649.72199511528
10,0.28599989972025736,0.5519781415507087,0.7858620463600243,0.0001,3765.84397649765
