Pathology,Winner_Model,Strategy,Threshold,TP,FN,TN,FP,Sensitivity_%,Specificity_%,Youden_J
Atelectasis,T2_V2,Override (T2_V2),0.2089,21,7,72,50,75.0,59.02,0.34
Cardiomegaly,T4,Override (T4),0.3991,13,3,126,8,81.25,94.03,0.753
Effusion,T1_V2,Override (T1_V2),0.2395,35,5,77,33,87.5,70.0,0.575
Infiltration,T2,Override (T2),0.2756,28,9,72,41,75.68,63.72,0.394
Mass,T1,Override (T1),0.2667,17,4,96,33,80.95,74.42,0.554
Nodule,T3,Override (T3),0.3863,14,7,97,32,66.67,75.19,0.419
Pneumonia,T1,Override (T1),0.2079,12,1,87,50,92.31,63.5,0.558
Pneumothorax,20260402,Override (20260402),0.3609,15,3,113,19,83.33,85.61,0.689
Consolidation,T4,Override (T4),0.2444,18,2,93,37,90.0,71.54,0.615
Edema,Base,Override (Base),0.5762,14,3,116,17,82.35,87.22,0.696
Emphysema,T3,Override (T3),0.2169,14,3,114,19,82.35,85.71,0.681
Fibrosis,T3,Override (T3),0.05,8,3,111,28,72.73,79.86,0.526
Pleural_Thickening,20260423,Override (20260423),0.2853,12,4,86,48,75.0,64.18,0.392
Hernia,V1_3,Override (V1_3),0.05,10,2,137,1,83.33,99.28,0.826
